date,run,chamber_probe,coral_id,ptime,rtime
20230605,1,1,105,15,15
20230605,1,2,76,15,15
20230605,1,3,18,15,15
20230605,1,4,25,15,15
20230605,1,5,20230605_blank,15,15
20230605,1,6,41,15,15
20230605,1,7,64,15,15
20230605,1,8,38,15,15
20230605,1,9,21,15,15
20230605,1,10,7,15,15
20230605,2,1,93,15,15
20230605,2,2,81,15,15
20230605,2,3,4,15,15
20230605,2,4,3,15,15
20230605,2,5,20230605_blank2,15,15
20230605,2,6,40,15,15
20230605,2,7,103,15,15
20230605,2,8,23,15,15
20230605,2,9,75,15,15
20230605,2,10,72,15,15
20230605,3,1,91,15,15
20230605,3,2,79,15,15
20230605,3,3,6,15,15
20230605,3,4,56,15,15
20230605,3,5,20230605_blank3,15,15
20230605,3,6,58,15,15
20230605,3,7,51,15,15
20230605,3,8,53,15,15
20230605,3,9,33,15,15
20230605,3,10,104,15,15
20230605,4,1,66,15,15
20230605,4,2,48,15,15
20230605,4,3,27,15,15
20230605,4,4,2,15,15
20230605,4,5,20230605_blank4,15,15
20230605,4,6,83,15,15
20230605,4,7,96,15,15
20230605,4,8,60,15,15
20230605,4,9,62,15,15
20230605,4,10,102,15,15
20230606,1,1,88,15,15
20230606,1,2,98,15,15
20230606,1,3,1,15,15
20230606,1,4,69,15,15
20230606,1,5,20230606_blank,15,15
20230606,1,6,52,15,15
20230606,1,7,22,15,15
20230606,1,8,32,15,15
20230606,1,9,74,15,15
20230606,1,10,17,15,15
20230606,2,1,19,15,20
20230606,2,2,26,15,20
20230606,2,3,13,15,20
20230606,2,4,11,15,20
20230606,2,5,20230606_blank2,15,20
20230606,2,6,89,15,20
20230606,2,7,77,15,20
20230606,2,8,47,15,20
20230606,2,9,42,15,20
20230606,2,10,71,15,20
20230606,3,1,5,15,15
20230606,3,2,82,15,15
20230606,3,3,100,15,15
20230606,3,4,45,15,15
20230606,3,5,20230606_blank3,15,15
20230606,3,6,28,15,15
20230606,3,7,55,15,15
20230606,3,8,85,15,15
20230606,3,9,14,15,15
20230606,3,10,43,15,15
20230606,4,1,30,15,15
20230606,4,2,35,15,15
20230606,4,3,87,15,15
20230606,4,4,95,15,15
20230606,4,5,20230606_blank4,15,15
20230606,4,6,37,15,15
20230606,4,7,59,15,15
20230606,4,8,16,15,15
20230606,4,9,10,15,15
20230606,4,10,65,15,15
20230607,1,1,101,15,15
20230607,1,2,78,15,15
20230607,1,3,15,15,15
20230607,1,4,63,15,15
20230607,1,5,20230607_blank,15,15
20230607,1,6,46,15,15
20230607,1,7,29,15,15
20230607,1,8,9,15,15
20230607,1,9,90,15,15
20230607,1,10,97,15,15
20230607,2,1,49,15,15
20230607,2,2,54,15,15
20230607,2,3,8,15,15
20230607,2,4,99,15,15
20230607,2,5,20230607_blank2,15,15
20230607,2,6,92,15,15
20230607,2,7,70,15,15
20230607,2,8,57,15,15
20230607,2,9,50,15,15
20230607,2,10,44,15,15
20230607,3,1,12,15,15
20230607,3,2,39,15,15
20230607,3,3,61,15,15
20230607,3,4,107,15,15
20230607,3,5,20230607_blank3,15,15
20230607,3,6,106,15,15
20230607,3,7,80,15,15
20230607,3,8,73,15,15
20230607,3,9,34,15,15
20230607,3,10,31,15,15
20230607,4,1,67,15,15
20230607,4,2,68,15,15
20230607,4,3,84,15,15
20230607,4,4,86,15,15
20230607,4,5,20230607_blank4,15,15
20230607,4,6,94,15,15
20230607,4,7,108,15,15
20230607,4,8,36,15,15
20230607,4,9,20,15,15
20230607,4,10,24,15,15